label,pred,pred_proba
"[0.0, 1.0]",0,0.19830012321472168
"[0.0, 1.0]",1,0.9202014803886414
"[0.0, 1.0]",1,0.5231344699859619
"[0.0, 1.0]",1,0.9745302200317383
"[0.0, 1.0]",1,0.9722713232040405
"[0.0, 1.0]",1,0.8367407321929932
"[0.0, 1.0]",0,0.04220040887594223
"[0.0, 1.0]",1,0.9362621307373047
"[0.0, 1.0]",1,0.5673813819885254
"[0.0, 1.0]",1,0.6735805869102478
"[0.0, 1.0]",1,0.9756180644035339
"[0.0, 1.0]",1,0.762089729309082
"[0.0, 1.0]",1,0.6612614989280701
"[0.0, 1.0]",1,0.9431869983673096
"[0.0, 1.0]",1,0.7573162913322449
"[0.0, 1.0]",0,0.4676913321018219
"[0.0, 1.0]",1,0.9854145050048828
"[0.0, 1.0]",0,0.024675285443663597
"[0.0, 1.0]",1,0.7795433402061462
"[0.0, 1.0]",1,0.9362170696258545
"[0.0, 1.0]",0,0.2103842943906784
"[0.0, 1.0]",0,0.08035270869731903
"[0.0, 1.0]",1,0.9241639971733093
"[0.0, 1.0]",1,0.872763991355896
"[0.0, 1.0]",1,0.956247091293335
"[0.0, 1.0]",1,0.9765959978103638
"[0.0, 1.0]",0,0.234671950340271
"[0.0, 1.0]",1,0.9365905523300171
"[0.0, 1.0]",0,0.11932838708162308
"[0.0, 1.0]",1,0.9809848070144653
"[0.0, 1.0]",1,0.9430350661277771
"[0.0, 1.0]",1,0.9881613254547119
"[0.0, 1.0]",1,0.9408661127090454
"[0.0, 1.0]",1,0.7183748483657837
"[0.0, 1.0]",1,0.6468917727470398
"[0.0, 1.0]",1,0.9768704175949097
"[0.0, 1.0]",0,0.10351067036390305
"[0.0, 1.0]",1,0.9602389335632324
"[0.0, 1.0]",0,0.3487015664577484
"[0.0, 1.0]",1,0.7171690464019775
"[0.0, 1.0]",1,0.5863625407218933
"[0.0, 1.0]",0,0.027473608031868935
"[0.0, 1.0]",1,0.534972608089447
"[0.0, 1.0]",0,0.15980325639247894
"[0.0, 1.0]",1,0.7636619210243225
"[0.0, 1.0]",0,0.4790603816509247
"[0.0, 1.0]",1,0.9872477054595947
"[0.0, 1.0]",1,0.7808360457420349
"[0.0, 1.0]",1,0.8752210736274719
"[0.0, 1.0]",1,0.953477144241333
"[0.0, 1.0]",1,0.5662709474563599
"[0.0, 1.0]",0,0.06583241373300552
"[0.0, 1.0]",1,0.8825053572654724
"[0.0, 1.0]",1,0.8374283909797668
"[0.0, 1.0]",0,0.06876344233751297
"[0.0, 1.0]",1,0.8366363644599915
"[0.0, 1.0]",0,0.2701931297779083
"[0.0, 1.0]",1,0.9701093435287476
"[0.0, 1.0]",0,0.025656502693891525
"[0.0, 1.0]",0,0.1810990869998932
"[0.0, 1.0]",1,0.9676236510276794
"[0.0, 1.0]",1,0.9807302951812744
